,neighborhood_overview,review_scores_location
813,Battersea is vibrant with excellent transport links   lots going on  Lots of supermarkets  pubs  cafes  restaurants etc    You are very   to the famous Kings Road with the Saatchi Gallery and all the shops ,5
822,  ten     of the   there is a huge range of leisure activities and shops  Clissold Park has a wood chip running path  tennis courts  playground  paddling pool  skate park  lakes  deer park  aviary  butterfly dome  goats and chickens and coffee  Clissold Leisure Centre has two swim g pools and a baby pool  gym  sauna and cafe  The Castle Climbing Centre is one of the biggest indoor centres in London  and is next to the reservoirs for sailing and canoeing  Yoga Home has loads of classes  The nightlife of Dalston is a short       There's a  health food store and convenience shops at the end of our street and a Tesco Express a little further  Stoke Newington Church Street has wonerful cafes  restaurants  bars and boutique shops ,5
867,The apartment is surrounded by lovely shops and amenities - La Fromagerie  the famous cheese emporium is around the corner  as is the Natural kitchen and several boutique wine merchants   Sunday's Farmers Market takes place one block   and the delightful  expansive Regent's Park is a mere 2-3   from the apartment ,5
908,Broadway Market  location of a brilliant  famous Saturday market and home to loads of bars cafes and boutiques  is a 5        London Fields  a huge green park  a 2      Dalston  brilliant restaurants  shops aplenty  is a 5       ,5
964,Fitzrovia is an upmarket  located in the heart of the West End  The   is on a quiet side-street and does not suffer from traffic noise ,5
973,Our neighborhood gives you a taste of London without the hustle ad bustle of the city  It is strategically located with easy access to shops  gyms and   local parks  In the summer there are lots of  funfairs and if you are a nature lover you will love our parks and taste of nature  It is not too near to the train station so you can sleep with ease without worry of extra noise and pollution but   enough o get you to your destination on time  We have easy access to buses going in varying directions and   less than an hour you are at the heart of the city   People are generally friendly but most time it is extremely quiet  You will experience the calm  coolness and tranquility of London ,5
1001,Quiet street in leafy residential  in heart of conservation   in Hither Green  Beautiful  award-winning landscaped park 2     from    farmers market each Saturday  fabulous childrens play   and lovely cafe       to Blackheath and historic Greenwich   Cutty Sark  and Greenwich Royal Park and River Thames for boat trips to e g  Hampton Court or 02 arena  Good choice of lovely local pubs  delis and restaurants all   easy      Supermarket 5     from     Easy access to central London by train/DLR   Local train station 8     from   ,5
1042,Primrose Hill has a local village feel to it  despite being in London  The hill itself has the best view of London and the local high street is full of shops  cafes and restaurants  It is a very safe  ,5
1047,Of course Soho is bohemian  It's full of artists and musicians and actors   It's also the home of London's Red Light District and its very friendly gay village  So  if you're of a less-then-liberal disposition or easily offended  it's not the right spot for you  There are strip joints and sex shops and gay bars in abundance    The   is famous for its drinking dens  One of my all time favourites is The French   on Dean Street  It was the HQ of the French Resistance during the war  In days gone by  its regulars were among the likes of Rimbaud  Francis Bacon  Geoffrey Bernard  and  to this day  a host of artistic and eccentric figures prop up the bar  It  one of the old Soho haunts that  still alive and kicking  Though be warned  the staff bark at you if you use your mobile and they don__ serve pints  only half pints  The Breton cider is cheap and tasty and the clientele are always eclectic and usually chatty    If you fancy something a little more s,5
1049,The   has every amenity you could possibly wish for  restaurants  bars  cafes  patisseries  supermarkets  banks  gyms  yoga studios  florists  bookshops etc  We even have one of the best parks and cafes in London  as   as a Sunday farmers market on your doorstep  voted best farmers market 2012     breakfast cafes  stone baked pizzas  lively tapas bar     you will eat   ,5
1050,The   is located just off Stoke Newington Church Street  which has   cafes  restaurants  independent clothes stores  handmade homewares  food and wine shops  a  place to spend your days  It has a village feel and char g character  making it a very unique   of London  Just a few       is the beautiful Clissold Park complete with animal enclosures  paddling pool and its historic and recently refurbished cafe  Abney Park cemetery is also a short      which was included in Lonely Planets Highlights of London ,5
1061,lovely 6 bedroom   in a wonderful part of London     It is very quiet and safe with local shops and parks    There is a  variety of restaurants   by ,5
1087,A list of local  bites  clubs travel links also a person to call if any problems ,5
1100,Islington is a safe  peaceful and lovely neighborhood ,5
1172,Brixton is a multi-cultural  up and co g   in London   There is a fantastic market and unique cafes  say no to Starbucks     There is  music  parks  and the vibe is good ,5
1211,The parks and coffee culture and quick access to the city center   Shoreditch ,5
1230,Moments from loads of really cool restaurants  cafes  bars   pubs in Hackney  Clapton  London Fields and Stoke Newington  I've lived in the   for years and can give you a guide of all the best spots ,5
1235,Crouch End is a sought after location in North London with a village like feel  There are lots of small boutique shops and     cafes  There are several supermarkets  a fish monger  butchers and   different types of restaurants  There are several large parks in the    Priory Park  Alexandra Palace and Finsbury Park ,5
1246,There is a  local pub called The Red Lion and one opposite the   called The North Star for a more traditional feel  There are some   restaurants Mora  Singburi  Spicebox and The Fillybrook which has a cool bar too   is the beautiful Wanstead  s and the start of  Epping Forest ,5
1248,The  offers plenty of Coffee Shops  Bars  Restaurants and local shops  I can happily point you to a few of my favourites     Park is 3       and extends for miles ,5
1285,A historical and prestigious part of London with stunning architecture  The   is extremely cosmopolitan and very safe   The Natural History Museum  Science Museum and Victoria   Albert Museum are literally   from my apartment  Hyde Park  Kensington Palace and the Royal Albert Hall  fabulous for concerts and entertainment  are a 10        The local shopping is spectacular with Harrods  Harvey Nichols and Sloane Street also no more than a 10      The   is packed with exceptional restaurants  cafes and bars ,5
1305,OUR    is fantastic for   around and soaking in the atmosphere  It is a colourful  with   colourful people    easy     are two street markets  Portobello and Goldborne Road   the expanse of Hyde Park  Santander Bike docks  the beautiful shops of Westbourne Grove  three active Churches  the famous Granger   Co  for brunch  wacky charity shops  Ben's Fruit and Vegetable  a large Waitrose  Daylesford Organic  The Electric Cinema  The Goldfinger Factory  Porchester Hall Sports Centre with pool and Paddington Library        and with excellent public transport the sights of London are only a few stops   ,5
1312,Haggerston is super creative  full of galleries  Broadway Market is on the doorstep  with wonderful cafes and restaurants   parks  People flock to the   at the weekend to enjoy all the above  but it can also be edgy and anyone co g should be streetwise  It is the inner city  There are Boris bikes  for the  cycle routes along the canal  parks  there is also a beautiful 50m heated open air lido  ,5
1328,Golders Green is a    full of restaurants  parks  cafes  Brent Cross shopping centre is a short bus ride     On the high street  you will find lots of international cuisine and food shops  from amazing jewish bakeries to korean supermarket  Local supermarket are just 5     and there are loads of second hand shops if you are after a treasure    The   is less than 10     to Hampstead Heath a  place for a   in beautiful green spaces and running routes   Golders Green is a safe and quiet  and our apartment is on very quiet road in the    Also   a 5     to a number of churches and a synagogue ,5
1348,Our   is located   from Hampstead Heath  a beautiful green oasis - offering hours of endless  s over meadows and woods - with so much to explore  Kenwood   and gardens lie in the grounds  In normal circumstances  you can enjoy swim g in the open air ponds and 60m lido  currently  d    The property is seconds   from grocery shops  chemist  post office  pubs and restaurants  you will really have anything you may need or wish for on the doorstep  Kentish Town  Hampstead Village and Camden Town are all        Regents Park and Primrose Hill are also   by  Camden Town boasts hundreds of shops  vendors and restaurants  and you can easily spend days wondering around  The   is char g  safe  and family friendly - a real desirable location ,5
1354,Pimlico is in our opinion the best place to live in London  It is very central  safe and convenient  There are restaurants  supermarkets and cafes all   by  Transport is particularly good with Pimlico tube station around the corner and Victoria station 10        You are also only 10     from the Tate Britain  the Thames  and half an hour from Southbank  I could not recommend this   more to anyone  ,5
1355, restaurants and bars and food stores    And   to museums ,5
1377,Located next to Tower bridge and the Shad Thames   with river-view bars and restaurants   a 10     of Bermondsey Street  a buzzing road with excellent food and drink  Some of our favorites include Jose tapas bar  The Hide Bar and Village East    Also   * Borough Market and the less crowded but equally fantastic Maltby Street Market * Tower of London,5
1397,Finsbury Park is a lively bustling place with quiet side streets  It is a multicultural   with north African coffee shops mixed with organic cafes and vintage shops selling furniture  clothes  second hand books and all sorts of other interesting things  There is an trendy gastropub  The Brownswood  with a relaxing outside   and   restaurants and take- s  including a new delicious Chinese take   that sells food from all over South East Asia  Two parks at either end of Queens Drive are  for  s and exercise ,5
1426,This part of East Finchley is uniquely quite  lush and upscale  Surrounded by parks such as cherry tree wood and highgate wood there is no shortage of  restaurants and coffee shops in the immediate vicinity  parking is free for those who come with a car ,5
1432,Our home is located on a quiet leafy residential street  but is in   proximity to a number of  s  all with fantastic bars restaurants and shops    We are a 5     to Abbeville Village  famed for its artisan butchers  delicatessens  coffee shops  and restaurants  We love buying our meat from the Ginger Pig  and highly recommend going to Gail's on Abbeville Road for an early morning coffee or breakfast  u  xzv2a1x  you set off to see the sights  and dinner in Bistro Union  It is a family friendly   but has something to please all ages  We are particular fans of Bottle Apostle  a fantastic wine shop which regularly does tastings    We are also a 10     to Balham  which has lots more restaurants and shops to choose from  including s large Sainsbury's supermarket and a Waitrose  Top spots include Milk and Brickwood for brunch or coffee  There is a daily market on Hildreth Street which also has a number of other restaurants  bars  food and wine sh,5
1435,Very quite   and very quite block  There are several restaurant     and  small quaint little parks where you can read your paper while sipping a coffee ,5
1452,Lydford Road is a tree-lined residential address literally round the corner from a wonderful cinema  organic deli  gastropub  coffee shops  cafes  a world-famous sushi restaurant  and the restaurants   pubs of both Willesden  Kilburn  Queens Park  and Kensal Green  The   is also very   to Notting Hill and the famous Portabello Road market ,5
1453,In my opinion Kentish Town is the best   in London  I'll tell you why  You are so   to the west end  soho  Trafalgar Square    to Hoxton and Camden Town        is Hampstead Heath  a truly magical place  There are 6 local bus routes  tube station and overground as    The immediate   boasts plenty of wonderful restaurants and pubs  in fact there is a delightful gastropub 50 metres   from the apartment  There are several supermarkets on the high road  delicatessens  bakeries and organic butchers ,5
1455,Northfields has a wonderful community vibe  and a bustling __igh street_ in Northfields Avenue  The   is almost equidistant from Northfields and South Ealing tube stations  so access to the amenities on South Ealing Road is also a short 5       Ealing Broadway is a short bus ride    or 25      where you have more restaurants  pubs  bars  a shopping centre and access to district and central tube lines as   as overland trains ,5
1467,The   is lovely and has lots of green  s   Shops and restaurants and tube is also 5       ,5
1472,We live in the Ware  District of Manor    less than a 10     from Manor   tube  Piccadilly Line  zone 2   Finsbury Park itself is at the end of our road - it's a  park with a big playground   cafe  running track   boating lake  There is a huge Sainsburys a 2-      and Green Lanes has loads of delicious Turkish restaurants  a Turkish deli  Yasar Halim   a few independent coffee shops a two  pubs  The Finsbury  The Salisbury   We are also a ten     from the lovely Woodberry Wetlands nature reserve   It's a quiet street with very nice neighbours  Stoke Newington  Dalston  Shoreditch  Stroud Green  Crouch End and loads of other amazing  s are really easy to get to  We are 20   from Oxford Street on the tube ,5
1498,Cricklewood is a thriving cosmopolitan community with easy access to central London  Local parks are  - with free tennis  basket ball and outdoor gym ,5
1501,The  is friendly and contrasts the beautiful open spaces of Hampstead Heath with the cool  urban shopping  s  A short train/tube journey and you can be in pretty much any part of London  from hip East London with the   the bars  restaurants  shops and markets and Olympic Village  the West End with museums  shows  shopping  Kew  Richmond in West London  fab North London  s such as Islington  Hampstead  Camden or the upco g Brixton  Peckham  etc in South London   Kentish Town is just north of Camden  which is famous for its buzzing music scene  eateries and markets - all this energy is a short 15     from our front door  In contrast  Hampstead Heath  5   is the largest green space in London  recognised for its beauty and nature  you can take a dip in the natural ponds or 50m lido pool  jog or simply stroll with an ice cream around this beautiful space  And why not end the day with a scrumptious Sunday roast in one of the English pubs - all ,5
1520,  - international  popular with families and film stars   safe  eclectic   pubs  wide streets  wonderful architecture - and the world famous Portobello Market   The open spaces of Kensington Gardens  Hyde Park and Holland Park are all a short     ,5
1525,Streatham is a nice safe  with a lovely common   by ,5
1549,Parks  Lakes  Cinema  Bowling  Shops  Sport activities in the aria  tennis  golf  horse riding  ice scatting  swim g pools   We live in good middle class aria of London ,5
1556,Thriving locality with plenty of independent shops and eateries as   as   of the big chain stores and supermarkets  High density city living but surprisingly quiet ,5
1557,Right next to Greenwich DLR and Train Station  A three     to River Thames and very   to all the supermarkets  5     will take you to Greenwich High street  Cutty-Sark  Museum and the Greenwich Park,5
1588,Fresh fruits and vegetables market open everyday  my Portobello is a very nice and attractive neighborhood with a fantastic vibe during weekends but also very calm and quite during  weekdays  All the amenities are around  with a supermarket opened until 12pm and all sort of shops  bakery  florist  off licence open until 1am  post office  bank  bars and restaurants ,5
1611,Nine Elms goes back hundreds of years on London  maps  Today  the    role as a connection hub continues  The Northern Line Extension to Battersea Power Station is fervently underway  set to open in 2020  However  the Power Station just opened a brand new  state-of-the-art pier for the MBNA Thames Clipper    There  the fantastic Cottons Vauxhall restaurant for some Caribbean cuisine  the Japanese Atami restaurant and The Nine Elms Tavern at Riverlight  Brunswick    or the various grub spots around Vauxhall station  But there  also the restaurants by Battersea Power Station  No  29 Power Station West  Mother  Chelsea Burger London  To top it all off  there  the brand new Source Cafe London at 184 Thessaly Road _ they serve homemade gelato   Italian coffee  brownies  pastries  quiches and so   ice cream flavours   To get the overview of our story    along the Thames River Path provides stunning autumnal river views  With more outdoor spaces op,5
1621,A 15     gets you to either Walthamstow Central or Blackhorse Road tube stations which are on the Victoria line and will get you into central London in 20     In under 5   you can   to the beautifully maintained Lloyd Park and William Morris Museum   cafe   There are a range of  local pubs  The Bell  Mirth  Marvel   Maud  as   as cafes and restaurants   Buhler and co  Yard Sale Pizza  Sodo Pizza  Spicebox    You can also easily get to Walthamstow Village   which has   more pubs  restaurants and bars ,5
1634,This   is in a wonderful part of London - interesting and diverse   The high street has Sainsburys  M S  and Tesco  plus numerous independent grocers   There are a number of nice gastropubs and restaurants in the     The famous Abbey Road studios are about a ten       if you fancy paying homage to the Beatles   I often run to Hampstead Heath and Primrose Hill  which takes me about 15     Regent's park is a short      and Paddington Recreation Ground even shorter - where you can use tennis courts  a running track  and a gym   You'll also be near to Little Venice  where you can enjoy a coffee on a canal boat ,5
1635,Crystal Palace ground at Selhurst Park is 40       and Kent County Cricket Club has The County Ground just thirty        Beckenham High Street with restaurants and bars is twenty     ,5
1648,This   has natural beauty  charm and village character  The   is situated on a quiet  safe  tree lined street of Victorian town s  quintessential London  Hampstead Heath is vast and unspoilt- stunning views of London and you can even swim outdoors here in the summer  Plenty of amenities- delicatessens  independent shops   gastropubs and restaurants  and a local cinema with sofas and at-seat service ,5
1663,The  is multi cultured   There are  places to experience including   along the river Lee  Brick Lane  Whitechapel  Spitalfield Market  Docklands  Tower Bridge  West ter  Parliament Building  museums  Stratford Olympic Stadium and Westfield Shopping Centre ,5
1664,King  Cross might be best known for King  Cross and St Pancras stations  plus Harry Potter  Platform 9戮   but there is much more to the   than travel and train timetables  Recent regeneration has made the   flourish  Bars and pubs in and around King  Cross range from traditional to achingly hip  and the restaurants feature everything from British to Ethiopian cuisine   There are a host of other things to do as    with outstanding clubs  music venues and museums   much-loved green spaces  popular Granary Square and a pretty stretch of Regent  Canal  all of which makes King  Cross an ace destination in its own right ,5
1673,This is a very quiet neighborhood composed mainly of families  Good pubs and fine restaurants can be found between 5 or 15mn    Kennington Parc is located 5mn   from the   and is  for a jog in the morning ,5
1675,Streatham's a buzzy vibrant   and there are nice restaurants  pubs  cafes a short     from the    There's a couple of large supermarkets on your doorstep so it's really convenient and as it's in between Streatham Common and Tooting Bec Common there are plenty of green spaces too ,5
1679, is quiet  clean but buzzing on fashionable Charlotte St and Oxford St ,5
1692,Barnes is known as the last village in London   The  high street is full of independent shops   from the mainstream   It is a lovely quiet place to discover with excellent pubs and restaurants for locals ,5
1701,Hampstead Heath  one of the most beautiful parks in London  is one        Bus 24h  overground and underground are        max 8    ,5
1712,All the art scenes and event venues are   by  on weekend you will find yourself exploring the urban culture  good restaurants  local market or just relax in victoria park ,5
1714,The Maltby street market is open every weekend  Sat/Sun   and it is only a few        You can get amazing coffees  Monmouth or Watch    artisanal cheeses and charcuteries  visit and do tastings at the   craft beer microbreweries  Anspach   Hobsday/Bullfinch or Kernel   or the two gin distilleries or the 'natural' wine sellers  40 Maltby Street  Dynamic Vines Or Ancestral Wines   buy from the food and veg stalls/market and butcheries  browse the antiques shops  and so on  The world famous Borough Market is only 20     or 4 bus stops     There are lots of cafe  restaurants  food and veg stalls and other shops around there  There are also a few banks  HSBC/Santander/Lloyds/Barclays  and money changer by the Borough Market  For the sporty/active guests  the  Southwark park is  for running  There is also a boutique family-owned gym  Circle Gym   Spa  just 6       complete with a spa and pool  and also yoga classes ,5
1726, able to   London attractions   Buckingham Palace  Tate Britain  West ter Abbey   Friendly residential   ,5
1753,On Your Doorstep Ideally located a 5     from Gloucester Road tube station  offering quick links to the rest of the city via the Circle  District and Piccadilly lines    excellent bus links leave from outside the door too ,5
1760,Kentish Town is ideally located between Highgate and Camden  The Forum and Bull   Gate music venues as   as the Round  and the Proud are   There's a wealth of char g  small cafes to hang out at as   as an ice cream parlour  Ruby Violet and an artisan bakery  Spence Bakery _ never  d the fishmonger and high-end butcher  Meat  Further down the road  there's a Wahaca  Pizza East  Anima e Cuore Italian restaurant to name just a few _ and the absolutely epic Le Patron French restaurant  I defy you not to love this highly desireable slice of North London ,5
1773,Stoke Newington is a   with lots of restaurants  cafes and independent shops  There are also lots of nice outdoor space and parks - one of the main ones being Clissold Park which has a fantastic playground     for access routes into the city  very easy travel to Liverpool Street and good buses to Angel and Kings Cross  It is also   to the trendy bars and night life of Dalston ,5
1777,Good-looking large Victorian  s in wide  tree-lined streets typify Tufnell Park  the north London  that sits between Kentish Town  Holloway and Highgate ,5
1791,Perfectly positioned on one of the three points of Parson  Green  you l find yourself with ample amenities on your door-step  Starbucks  is your next door neighbour   The White Horse sits on the second of the three points  An iconic London dining and drinking spot  famous for its BBQs  sunny beer garden  warm interior and welco g  urban crowd  it  an experience in itself  Mao Tai  an upmarket bar and restaurant serving delicious South East Asian cuisine is one not to be missed  The King  Road  famed for its designer shops and classy bars  like Bluebird  is a very short bus ride  or peddle on a Boris Bike      Parsons Green Tube is moments    offering quick links to the rest of the city ,5
1803,Crouch End has a number of restaurants of every type as   as a variety of caf s and pubs   The atmosphere is friendly and relaxed and  in general  the prices are lower than those to be found in Central London ,5
1805,The development itself is very unique - It feels like a little  hidden town   East London  with its own shop  restaurant and green    Hackney Wick or Victoria Park which are both     offer lots of amazing restaurants  coffee shops and galleries ,5
1809,The apartment is so   Hyde park  10      5     to Westbourne Grove which has so   restaurants  literally any cuisine you can imagine   persian   indian   french   Japanese    banks   supermarkets   cafes   bars  shops  art galleries   Also the biggest benefit is that a 15     or a 4   bus ride takes you in the heart of the famous Portobello market   Notting Hill   which runs on a saturday and you can buy fresh fruit and veg   you can find street food   antique markets   vintage clothes   lovely cafes and bars  ,5
1815, If you are tired of London  you are tired of life   London comprises of small villages  each with its own distinctive style  and each one worth exploring  Holland Park in the Royal Borough of Kensington and Chelsea is where film stars  aristocrats and politicians sip their cappuccinos and shop for rare tulip bulbs ,5
1818,The  is a very vibrant   with  pubs  coffee  s and restaurants   The High Street has an eclectic nightlife and restaurant scene   A funky  with a good mix of cultures and nationalities  Clapham Old Town has a lovely village feel with a French Market every Saturday  Come and stay and feel the real London experience ,5
1820,Between the river and Queen's tennis club  the   is   to the village-feel of Fulham and the sophistication and shopping of Kensington   transport links  a beautiful river   and parks  and pubs make the   a peaceful respite not far from the big city ,5
1829,Vibrancy and eclectic one off cafes/shops/restaurants  It is the only   in London now that feels like real artistic London how it used to be ,5
1831,From the   it is 200 yards or less to Kensington Gardens/Hyde Park  a seven     to Notting Hill shopping  Portobello road  Whiteleys Shopping Centre very   ,5
1848,We have been asked are you in a safe neighborhood? Bayswater and Notting Hill are very safe and considered one of the more affluent  s - Prince William and Kate have moved in at the end of my street  now joined by Prince William and Meghan  The apartment has a separate and extremely secure entrance  - but of course  you should be careful just as you would in your own city ,5
1851,Tooting is a vibrant  exciting place to live and our home is on a quiet residential street near a  local pub  Some of the best curry  s in London are   by and Tooting market is also    The tube station is a 5     which can take you direct to the West End and the London Eye at Southbank in about 20    Wimbledon Tennis Club is very   by   There are every type of restaurant and bars  and we are happy to recommend some to you  There is also a huge range of take   and delivery restaurants available ,5
